player_name,team,position,cluster
Haaland,Man City,FWD,2
Semenyo,Man City,MID,2
B.Fernandes,Man Utd,MID,2
Gabriel,Arsenal,DEF,3
Rice,Arsenal,MID,0
João Pedro,Chelsea,FWD,2
J.Timber,Arsenal,DEF,0
Thiago,Brentford,FWD,2
Wilson,Fulham,MID,2
Bowen,West Ham,FWD,2
Senesi,Bournemouth,DEF,0
Tarkowski,Everton,DEF,3
Guéhi,Man City,DEF,0
Bruno G.,Newcastle,MID,2
Saka,Arsenal,MID,2
Garner,Everton,MID,0
Casemiro,Man Utd,MID,2
Anderson,Nott'm Forest,MID,0
Rogers,Aston Villa,MID,2
Virgil,Liverpool,DEF,3
Chalobah,Chelsea,DEF,3
Raya,Arsenal,GKP,3
Matheus N.,Man City,DEF,0
Enzo,Chelsea,MID,2
Lacroix,Crystal Palace,DEF,3
O'Reilly,Man City,DEF,0
Gibbs-White,Nott'm Forest,MID,2
Ekitiké,Liverpool,FWD,2
Gravenberch,Liverpool,MID,0
Mbeumo,Man Utd,MID,2
Pickford,Everton,GKP,3
Stach,Leeds,MID,0
Truffert,Bournemouth,DEF,0
Szoboszlai,Liverpool,MID,0
Ballard,Sunderland,DEF,3
Zubimendi,Arsenal,MID,0
Van Hecke,Brighton,DEF,3
Henderson,Crystal Palace,GKP,3
Mukiele,Sunderland,DEF,0
Dewsbury-Hall,Everton,MID,0
Mitchell,Crystal Palace,DEF,3
James,Chelsea,DEF,0
Thiaw,Newcastle,DEF,3
Richards,Crystal Palace,DEF,3
Rúben,Man City,DEF,3
Foden,Man City,MID,2
Konaté,Liverpool,DEF,3
Keane,Everton,DEF,3
Cunha,Man Utd,MID,2
Roefs,Sunderland,GKP,3
Muñoz,Crystal Palace,DEF,0
Calvert-Lewin,Leeds,FWD,2
Saliba,Arsenal,DEF,3
Tavernier,Bournemouth,MID,2
E.Le Fée,Sunderland,MID,0
Scott,Bournemouth,MID,0
Neto,Chelsea,MID,0
Aaronson,Leeds,MID,0
M.Fernandes,West Ham,MID,0
Kelleher,Brentford,GKP,3
Gakpo,Liverpool,MID,2
Donnarumma,Man City,GKP,3
Anthony,Burnley,MID,0
Wirtz,Liverpool,MID,0
Ndiaye,Everton,MID,0
Alderete,Sunderland,DEF,3
Gyökeres,Arsenal,FWD,2
Cash,Aston Villa,DEF,0
Watkins,Aston Villa,FWD,2
Petrović,Bournemouth,GKP,3
Sánchez,Chelsea,GKP,3
Andersen,Fulham,DEF,3
Cherki,Man City,MID,0
Trossard,Arsenal,MID,0
Martinez,Aston Villa,GKP,3
Collins,Brentford,DEF,3
Raúl,Fulham,FWD,2
Verbruggen,Brighton,GKP,3
O.Dango,Brentford,MID,0
Schade,Brentford,MID,2
M.Salah,Liverpool,MID,2
Dalot,Man Utd,DEF,0
Van de Ven,Spurs,DEF,3
O'Brien,Everton,DEF,3
Ampadu,Leeds,MID,3
Xhaka,Sunderland,MID,0
Minteh,Brighton,MID,0
Welbeck,Brighton,FWD,2
Palmer,Chelsea,MID,2
Caicedo,Chelsea,MID,3
Eze,Arsenal,MID,0
Iwobi,Fulham,MID,0
J.Palhinha,Spurs,MID,3
Šeško,Man Utd,FWD,2
Calafiori,Arsenal,DEF,3
Cucurella,Chelsea,DEF,0
Sarr,Crystal Palace,MID,2
Rodon,Leeds,DEF,3
Summerville,West Ham,MID,0
Wharton,Crystal Palace,MID,0
Gusto,Chelsea,DEF,0
Konsa,Aston Villa,DEF,3
Evanilson,Bournemouth,FWD,2
A.Becker,Liverpool,GKP,3
N.Williams,Nott'm Forest,DEF,0
Romero,Spurs,DEF,3
Struijk,Leeds,DEF,3
Gordon,Newcastle,MID,2
Vicario,Spurs,GKP,3
Richarlison,Spurs,FWD,2
Woltemade,Newcastle,FWD,2
Milenković,Nott'm Forest,DEF,3
Hume,Sunderland,DEF,3
Reijnders,Man City,MID,0
Dúbravka,Burnley,GKP,3
Damsgaard,Brentford,MID,0
Mateta,Crystal Palace,FWD,2
Leno,Fulham,GKP,3
J.Gomes,Wolves,MID,3
F.Kadıoğlu,Brighton,DEF,0
Ayari,Brighton,MID,3
Hill,Bournemouth,DEF,3
Van den Berg,Brentford,DEF,3
Gomez,Brighton,MID,3
Mac Allister,Liverpool,MID,0
Buendía,Aston Villa,MID,0
Pope,Newcastle,GKP,3
Pedro Porro,Spurs,DEF,0
