match_id,player_name,x,y,is_goal,xg_predicted
1,Hugo Ekitiké,76.8,68.7,0,0.18077927020590215
1,Mohamed Salah,85.6,31.3,0,0.2600870675985104
1,Virgil van Dijk,91.4,50.5,0,0.6286730397086903
1,Antoine Semenyo,91.1,45.0,0,0.537715951024643
1,Evanilson,94.9,41.1,0,0.5776109975969401
1,Virgil van Dijk,91.2,53.2,0,0.5694272815581505
1,Marcus Tavernier,87.0,52.1,0,0.5898728997466804
1,Hugo Ekitiké,89.1,52.4,1,0.5811751289245781
1,Hugo Ekitiké,94.2,48.3,0,0.6097290380891928
1,David Brooks,85.5,68.5,0,0.26107269844135467
1,Hugo Ekitiké,96.1,52.1,0,0.6320484492842463
1,Marcus Tavernier,75.4,32.1,0,0.18462695055653236
1,Mohamed Salah,85.0,42.7,0,0.44491875862364094
1,Evanilson,87.7,65.6,0,0.33133417815717575
1,Cody Gakpo,85.1,49.2,1,0.6358222823903767
1,Alexis Mac Allister,76.0,34.8,0,0.23004327396949542
1,Jeremie Frimpong,75.4,37.2,0,0.2751029251688849
1,Dominik Szoboszlai,70.9,55.7,0,0.486223009266604
1,Florian Wirtz,84.0,45.8,0,0.5264264602808004
1,Antoine Semenyo,90.8,51.3,1,0.609412493739478
1,Cody Gakpo,85.2,76.1,0,0.18059378572245868
1,David Brooks,90.9,61.1,0,0.45068922762620717
1,Evanilson,91.2,59.5,0,0.47691013013788763
1,Antoine Semenyo,82.5,48.3,1,0.6111945299435396
1,Dominik Szoboszlai,85.5,44.2,0,0.48434036648586437
1,Dominik Szoboszlai,86.5,33.6,0,0.30180124606729364
1,Cody Gakpo,91.1,61.1,0,0.4549536824541123
1,Federico Chiesa,89.8,53.4,1,0.558798593669833
1,Mohamed Salah,89.9,61.3,1,0.42825946584168817
2,Anthony Elanga,86.8,43.3,0,0.46923589801419474
2,Anthony Gordon,85.9,66.7,0,0.2891685550119647
2,Anthony Gordon,84.8,61.7,0,0.352047363463647
2,Anthony Gordon,93.0,47.0,0,0.5855393410273879
2,Anthony Elanga,91.2,36.2,0,0.4248742406916213
2,Anthony Gordon,78.4,61.3,0,0.31935173996380545
2,Anthony Gordon,84.9,65.1,0,0.298122435809643
2,Fabian Schär,73.8,34.6,0,0.21809213703702454
2,Boubacar Kamara,90.1,47.3,0,0.5754858686609675
2,Ollie Watkins,85.3,44.6,0,0.49416963670721353
2,Fabian Schär,76.3,45.5,0,0.5219272947615287
2,Anthony Gordon,67.7,59.3,0,0.36170657408716095
2,Harvey Barnes,89.8,60.9,0,0.43187852358289003
2,Harvey Barnes,81.3,46.0,0,0.5334147864666562
2,Donyell Malen,91.8,27.6,0,0.34473222574688817
2,Harvey Barnes,83.6,67.7,0,0.24736187167324775
2,Anthony Gordon,72.2,53.6,0,0.5649748935606103
2,William Osula,83.6,31.8,0,0.2410147617146321
2,Fabian Schär,35.5,30.9,0,0.13212000372013094
3,Raúl Jiménez,93.0,64.4,0,0.4662910421473328
3,Carlos Baleba,74.0,46.4,0,0.5605574833372544
3,Georginio Rutter,75.0,63.2,0,0.26520235277896226
3,Kaoru Mitoma,93.3,59.7,0,0.5236327456334323
3,Georginio Rutter,79.6,44.9,0,0.49742729581362355
3,Mats Wieffer,89.0,42.3,0,0.46901585714476335
3,Harry Wilson,96.6,38.5,0,0.6165505348561755
3,Josh King,96.1,64.4,0,0.5706154910815812
3,Raúl Jiménez,97.6,57.5,0,0.68506263823654
3,Matt O'Riley,88.5,50.0,1,0.6519215812920894
3,Alex Iwobi,73.9,76.5,0,0.09244867356177762
3,Yankuba Minteh,89.7,40.2,0,0.44569377925194886
3,Diego Gómez,74.9,46.0,0,0.5431980541265732
3,Lewis Dunk,96.2,58.7,0,0.6235251792821628
3,Brajan Gruda,91.9,36.1,0,0.4412769510260427
3,Emile Smith Rowe,79.7,57.0,0,0.4370501965750596
3,Rodrigo Muniz,94.9,57.9,1,0.5850950734291853
4,Jarrod Bowen,92.6,30.6,0,0.39980695389338927
4,El Hadji Malick Diouf,73.7,50.7,0,0.67441259293132
4,Habib Diarra,89.5,33.4,0,0.3530839746554353
4,Dan Ballard,97.3,61.2,0,0.6462837195768151
4,El Hadji Malick Diouf,85.2,57.9,0,0.432105560105066
4,Niclas Füllkrug,92.3,57.3,0,0.5251863032994317
4,Jarrod Bowen,79.8,58.6,0,0.3916128079906664
4,Guido Rodríguez,79.3,53.6,0,0.5497816945485248
4,Eliezer Mayenda,91.7,40.9,0,0.49200669447044415
4,Dan Ballard,95.8,62.6,0,0.5768189232857679
4,Simon Adingra,87.5,57.9,0,0.44971782747360034
4,Dan Ballard,97.6,59.7,0,0.6702973332452968
4,Habib Diarra,78.4,50.7,0,0.6596447150789915
4,Eliezer Mayenda,90.2,44.3,1,0.5167741458756752
4,Dan Ballard,90.7,54.2,1,0.5477383914451677
4,El Hadji Malick Diouf,75.0,51.7,0,0.6317659232266287
4,Jarrod Bowen,91.1,43.4,0,0.5137031644649636
4,Tomás Soucek,85.0,40.9,0,0.4044739899465512
4,Callum Wilson,88.7,56.4,0,0.4897717153467206
4,Niclas Füllkrug,88.1,52.8,0,0.569730956402576
4,Wilson Isidor,85.1,71.6,1,0.22106590289193265
4,Jarrod Bowen,79.9,50.7,0,0.6549703227049787
5,Lucas Bergvall,97.7,41.2,0,0.680897134926467
5,Brennan Johnson,81.1,48.3,0,0.6146946837546701
5,Richarlison,88.1,47.4,1,0.575173772482011
5,Richarlison,92.6,52.2,0,0.594218604859521
5,Jaidon Anthony,89.1,50.4,0,0.6375100378472762
5,Oliver Sonne,83.1,66.5,0,0.25815866817324506
5,Josh Laurent,74.3,39.9,0,0.3394264613796261
5,Kyle Walker,70.4,37.9,0,0.2811885787214996
5,Jaidon Anthony,79.1,65.0,0,0.24938230394723054
5,Lyle Foster,77.5,41.3,0,0.3838203688101017
5,Maxime Estève,92.0,50.5,0,0.6273716001580801
5,Josh Laurent,86.6,70.2,0,0.2579676176705357
5,Hannibal Mejbri,78.4,78.2,0,0.10355758492905508
5,Djed Spence,78.5,59.7,0,0.3588551209460622
5,Josh Laurent,78.4,41.2,0,0.3827366645135537
5,Micky van de Ven,97.4,48.5,0,0.6566757240471498
5,Richarlison,88.5,58.8,0,0.44415008305740067
5,Richarlison,96.5,57.7,0,0.6408800709683365
5,Mohammed Kudus,92.6,23.5,0,0.32426336316166937
5,Lyle Foster,90.5,46.3,0,0.5558808715742498
5,Jaidon Anthony,92.7,53.2,0,0.5801941073343554
5,Richarlison,88.6,54.3,1,0.5335085476147136
5,Pedro Porro,76.7,32.2,0,0.19239911034229285
5,Brennan Johnson,90.5,61.1,1,0.4424865911830595
5,Lesley Ugochukwu,82.2,49.1,0,0.6406593347071414
5,Micky van de Ven,96.4,46.4,0,0.6463424222000178
5,Jaidon Anthony,84.9,46.6,0,0.5511590970840899
5,Dominic Solanke,86.2,47.2,0,0.569225175268642
5,Djed Spence,96.1,66.9,0,0.5450522892097395
5,Mohammed Kudus,75.0,42.3,0,0.4120147534354775
6,Erling Haaland,92.3,50.7,0,0.6222572879504792
6,Erling Haaland,95.5,45.8,0,0.6204157728396636
6,Jørgen Strand Larsen,88.0,46.6,0,0.5536977604871679
6,Jean-Ricner Bellegarde,81.0,65.8,0,0.24960388716075818
6,Nico González,81.6,40.0,0,0.36357106513163573
6,Rayan Aït-Nouri,75.8,49.0,0,0.6563382527777764
6,Nico González,73.7,55.5,0,0.489115629298827
6,Erling Haaland,96.9,53.2,1,0.661341400622384
6,Tijjani Reijnders,84.3,65.0,1,0.292668284178733
6,Erling Haaland,93.3,46.9,0,0.5873016150531875
6,Jørgen Strand Larsen,89.2,43.2,0,0.48707938000530027
6,Erling Haaland,91.4,48.3,0,0.60030454153545
